Type,Token,Count
word,조희대,5
word,트럼프,4
word,대통령,4
word,4,3
word,전세,3
word,코스피,3
word,부모님,3
word,이재명,3
word,단독,3
word,aws,3
word,일부,2
word,속보,2
word,및,2
word,국장,2
word,미국,2
word,요즘,2
word,사람은,2
word,일본,2
word,거,2
word,있어요,2
bigram,이재명 대통령,3
bigram,조희대 조희대,2
bigram,과즙세연 뻑가,1
bigram,뻑가 상대,1
bigram,상대 손배소,1
bigram,손배소 일부,1
bigram,일부 승소,1
bigram,승소 1천만,1
bigram,1천만 원,1
bigram,원 배상,1
bigram,배상 판결,1
bigram,속보 다카이치,1
bigram,다카이치 사실상,1
bigram,사실상 총리로,1
bigram,총리로 선출,1
bigram,선출 중의원,1
bigram,중의원 1차투표,1
bigram,1차투표 과반,1
bigram,과반 득표,1
bigram,임성근에게 기적이,1
