Type,Token,Count
word,jpg,8
word,왜,8
word,코스피,6
word,캄보디아,5
word,이,5
word,서울,5
word,요즘,5
word,트럼프,5
word,10,4
word,영화,4
word,3,4
word,미국,4
word,대통령,4
word,진짜,4
word,있을까요,4
word,지금,4
word,무인점포는,4
word,결국,3
word,오늘,3
word,뉴스,3
bigram,오늘 이,2
bigram,이 뉴스,2
bigram,2025 10,2
bigram,10 23,2
bigram,건희는 경복궁에,2
bigram,경복궁에 들어가,2
bigram,농축 재처리,2
bigram,받아들여 곧,2
bigram,유승준 비자,2
bigram,cnn 트럼프의,1
bigram,트럼프의 골든,1
bigram,골든 백악관,1
bigram,백악관 건축비,1
bigram,건축비 기부자들,1
bigram,기부자들 명단공개,1
bigram,다리 골절이었는데,1
bigram,골절이었는데 100분,1
bigram,100분 넘게,1
bigram,넘게 응급실,1
bigram,응급실 못,1
